2018-12-23 08:30:50 configure libefivar0:amd64 0.23-2 <none>
2018-12-23 08:30:50 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:50 status unpacked libefivar0:amd64 0.23-2
2018-12-23 08:30:50 status half-configured libefivar0:amd64 0.23-2
2018-12-23 08:30:50 status installed libefivar0:amd64 0.23-2
2018-12-23 08:30:50 configure efibootmgr:amd64 0.12-4 <none>
2018-12-23 08:30:50 status unpacked efibootmgr:amd64 0.12-4
2018-12-23 08:30:50 status half-configured efibootmgr:amd64 0.12-4
2018-12-23 08:30:50 status installed efibootmgr:amd64 0.12-4
2018-12-23 08:30:50 configure grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20 <none>
2018-12-23 08:30:50 status unpacked grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 status half-configured grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 status installed grub-efi-amd64-bin:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 configure grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20 <none>
2018-12-23 08:30:50 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 status unpacked grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:50 status half-configured grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:51 status installed grub-efi-amd64:amd64 2.02~beta2-36ubuntu3.20
2018-12-23 08:30:51 configure grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20 <none>
2018-12-23 08:30:51 status unpacked grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:51 status half-configured grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:51 status installed grub-efi-amd64-signed:amd64 1.66.20+2.02~beta2-36ubuntu3.20
2018-12-23 08:30:51 configure mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1 <none>
2018-12-23 08:30:51 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:51 status half-configured mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:51 status installed mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~16.04.1
2018-12-23 08:30:51 configure sbsigntool:amd64 0.6-0ubuntu10.1 <none>
2018-12-23 08:30:51 status unpacked sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:51 status half-configured sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:51 status installed sbsigntool:amd64 0.6-0ubuntu10.1
2018-12-23 08:30:51 configure secureboot-db:amd64 1.4~ubuntu0.16.04.1 <none>
2018-12-23 08:30:51 status unpacked secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:51 status half-configured secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:51 status installed secureboot-db:amd64 1.4~ubuntu0.16.04.1
2018-12-23 08:30:51 configure shim:amd64 13-0ubuntu2 <none>
2018-12-23 08:30:51 status unpacked shim:amd64 13-0ubuntu2
2018-12-23 08:30:51 status half-configured shim:amd64 13-0ubuntu2
2018-12-23 08:30:51 status installed shim:amd64 13-0ubuntu2
2018-12-23 08:30:51 configure shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2 <none>
2018-12-23 08:30:51 status unpacked shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:51 status half-configured shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:51 status installed shim-signed:amd64 1.33.1~16.04.1+13-0ubuntu2
2018-12-23 08:30:51 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-12-23 08:30:51 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:51 status installed libc-bin:amd64 2.23-0ubuntu10
2018-12-23 08:30:51 startup packages configure
2019-01-24 08:46:10 startup archives unpack
2019-01-24 08:46:10 install libjpeg-turbo8:amd64 <none> 1.4.2-0ubuntu3.1
2019-01-24 08:46:10 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-01-24 08:46:10 status half-installed libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:10 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:10 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:10 install libjbig0:amd64 <none> 2.1-3.1
2019-01-24 08:46:10 status half-installed libjbig0:amd64 2.1-3.1
2019-01-24 08:46:10 status unpacked libjbig0:amd64 2.1-3.1
2019-01-24 08:46:10 status unpacked libjbig0:amd64 2.1-3.1
